# scripts/eval_reacher_residual.py
controller,scenario,need,best,final,path,eff,reached
Select-DPC,0,0.05798,0.00076,0.00078,0.06708,1.1724,1
Select-DPC,1,0.25695,0.00196,0.00424,0.39558,1.5514,1
Select-DPC,2,0.26316,0.00435,0.00805,0.35960,1.3894,1
Select-DPC,3,0.06635,0.00079,0.00095,0.08628,1.3161,1
Select-DPC,4,0.34088,0.02501,0.04611,0.57481,1.8198,0
Select-DPC,5,0.10056,0.03721,0.03721,0.16631,2.6254,0
Select-DPC,6,0.28202,0.00477,0.00867,0.34900,1.2588,1
Select-DPC,7,0.20525,0.00320,0.00320,0.34437,1.7043,1
Select-DPC,8,0.33860,0.17627,0.19016,0.56067,3.4538,0
Select-DPC,9,0.08538,0.00552,0.01164,0.12979,1.6252,1
Select-DPC,10,0.15299,0.00336,0.00626,0.18679,1.2484,1
Select-DPC,11,0.22874,0.00130,0.00607,0.34643,1.5232,1
Select-DPC,12,0.30876,0.00007,0.00333,0.43255,1.4012,1
Select-DPC,13,0.24962,0.00130,0.00215,0.31299,1.2604,1
Select-DPC,14,0.17595,0.10694,0.10694,0.39980,5.7933,0
Select-DPC,15,0.10832,0.01135,0.01135,0.17058,1.7591,0
Select-DPC,16,0.29178,0.00139,0.00430,0.37804,1.3018,1
Select-DPC,17,0.22589,0.00297,0.00425,0.31367,1.4071,1
Select-DPC,18,0.03707,0.00062,0.00131,0.04773,1.3092,1
Select-DPC,19,0.24099,0.00031,0.00184,0.43391,1.8028,1
Select-DPC,20,0.19660,0.02900,0.02914,0.25464,1.5193,0
Select-DPC,21,0.03071,0.00242,0.00991,0.05086,1.7981,1
Select-DPC,22,0.08367,0.00297,0.00641,0.10661,1.3210,1
Select-DPC,23,0.16059,0.00204,0.00432,0.27167,1.7134,1
Select-DPC,24,0.12580,0.00263,0.01205,0.24287,1.9719,1
Select-DPC,25,0.31873,0.03283,0.03283,0.50893,1.7800,0
Select-DPC,26,0.14984,0.00204,0.00707,0.18660,1.2625,1
Select-DPC,27,0.24484,0.00077,0.00090,0.35064,1.4367,1
Select-DPC,28,0.30627,0.00212,0.00294,0.39757,1.3071,1
Select-DPC,29,0.10318,0.00156,0.00240,0.13125,1.2915,1
Select-DPC,30,0.33832,0.00731,0.03330,0.62889,1.8999,1
Select-DPC,31,0.14079,0.00248,0.00462,0.24533,1.7738,1
Select-DPC,32,0.15517,0.00194,0.01567,0.20206,1.3186,1
Select-DPC,33,0.14703,0.00071,0.00213,0.19876,1.3584,1
Select-DPC,34,0.35317,0.00305,0.00437,0.62098,1.7736,1
Select-DPC,35,0.20928,0.00828,0.01186,0.29313,1.4583,1
Select-DPC,36,0.34080,0.06076,0.14581,0.56626,2.0221,0
Select-DPC,37,0.30752,0.00783,0.00815,0.64592,2.1553,1
Select-DPC,38,0.03370,0.00794,0.00923,0.06440,2.4999,1
Select-DPC,39,0.27269,0.00470,0.00489,0.42869,1.5997,1
Select-DPC,40,0.25154,0.01725,0.02133,0.31382,1.3394,0
Select-DPC,41,0.21409,0.00718,0.00733,0.34673,1.6757,1
Select-DPC,42,0.38091,0.00387,0.01070,0.70815,1.8782,1
Select-DPC,43,0.16370,0.00148,0.00148,0.24066,1.4835,1
Select-DPC,44,0.08860,0.00041,0.00102,0.13731,1.5569,1
Select-DPC,45,0.31974,0.14718,0.17461,0.27609,1.6000,0
Select-DPC,46,0.33757,0.00430,0.01079,0.72914,2.1878,1
Select-DPC,47,0.20727,0.15755,0.16425,0.09034,1.8167,0
Select-DPC,48,0.11947,0.00085,0.00276,0.16070,1.3547,1
Select-DPC,49,0.25649,0.00329,0.00338,0.53470,2.1118,1
Select-DPC,50,0.18705,0.00030,0.00179,0.25709,1.3767,1
Select-DPC,51,0.11518,0.00201,0.00886,0.17158,1.5161,1
Select-DPC,52,0.05708,0.00273,0.02872,0.10715,1.9715,1
Select-DPC,53,0.28449,0.00092,0.00253,0.44040,1.5530,1
Select-DPC,54,0.19459,0.05034,0.05034,1.27772,8.8579,0
Select-DPC,55,0.12032,0.04108,0.04118,0.08494,1.0721,0
Select-DPC,56,0.33950,0.03110,0.05372,0.74438,2.4137,0
Select-DPC,57,0.28379,0.00166,0.00389,0.52354,1.8557,1
