# scripts/eval_reacher_residual.py
controller,scenario,need,best,final,path,eff,reached
Select-DPC,0,0.05798,0.00299,0.00306,0.06653,1.2099,1
Select-DPC,1,0.25695,0.00498,0.00498,0.44015,1.7468,1
Select-DPC,2,0.26316,0.00337,0.00747,0.35872,1.3808,1
Select-DPC,3,0.06635,0.00046,0.00094,0.09459,1.4357,1
Select-DPC,4,0.34088,0.02472,0.04501,0.83209,2.6318,0
Select-DPC,5,0.10056,0.03873,0.03873,0.16313,2.6387,0
Select-DPC,6,0.28202,0.00427,0.00757,0.41466,1.4929,1
Select-DPC,7,0.20525,0.00432,0.00432,0.37255,1.8541,1
Select-DPC,8,0.33860,0.01608,0.01608,0.50046,1.5517,0
Select-DPC,9,0.08538,0.00680,0.01159,0.11460,1.4583,1
Select-DPC,10,0.15299,0.00160,0.00224,0.24339,1.6078,1
Select-DPC,11,0.22874,0.00179,0.00499,0.39673,1.7481,1
Select-DPC,12,0.30876,0.00264,0.00311,0.56200,1.8358,1
Select-DPC,13,0.24962,0.00039,0.00188,0.32218,1.2927,1
Select-DPC,14,0.17595,0.15854,0.17602,0.27818,15.9806,0
Select-DPC,15,0.10832,0.00492,0.02572,0.25178,2.4350,1
Select-DPC,16,0.29178,0.00081,0.00452,0.38480,1.3225,1
Select-DPC,17,0.22589,0.11708,0.12805,0.24338,2.2367,0
Select-DPC,18,0.03707,0.00107,0.00132,0.04759,1.3220,1
Select-DPC,19,0.24099,0.00272,0.00339,0.39882,1.6738,1
Select-DPC,20,0.19660,0.02392,0.02884,0.24197,1.4013,0
Select-DPC,21,0.03071,0.00143,0.00509,0.04880,1.6667,1
Select-DPC,22,0.08367,0.00045,0.00616,0.10911,1.3111,1
Select-DPC,23,0.16059,0.00129,0.00544,0.25179,1.5807,1
Select-DPC,24,0.12580,0.00061,0.01411,0.25625,2.0470,1
Select-DPC,25,0.31873,0.03225,0.03255,0.46587,1.6262,0
Select-DPC,26,0.14984,0.00159,0.00720,0.22443,1.5138,1
Select-DPC,27,0.24484,0.00389,0.00389,0.31416,1.3039,1
Select-DPC,28,0.30627,0.00549,0.00549,0.51183,1.7016,1
Select-DPC,29,0.10318,0.00112,0.00181,0.13055,1.2791,1
Select-DPC,30,0.33832,0.00475,0.03640,0.67603,2.0267,1
Select-DPC,31,0.14079,0.00832,0.00832,0.21124,1.5946,1
Select-DPC,32,0.15517,0.00406,0.01099,0.23157,1.5325,1
Select-DPC,33,0.14703,0.00207,0.00209,0.24838,1.7135,1
Select-DPC,34,0.35317,0.00598,0.00694,0.58625,1.6885,1
Select-DPC,35,0.20928,0.01617,0.01617,0.62450,3.2338,0
Select-DPC,36,0.34080,0.14541,0.16204,0.49171,2.5166,0
Select-DPC,37,0.30752,0.00248,0.00248,0.49087,1.6092,1
Select-DPC,38,0.03370,0.00866,0.01008,0.06310,2.5196,1
Select-DPC,39,0.27269,0.01085,0.01085,0.82865,3.1647,0
Select-DPC,40,0.25154,0.00034,0.00221,0.33087,1.3171,1
Select-DPC,41,0.21409,0.18416,0.19069,0.06212,2.0756,0
Select-DPC,42,0.38091,0.00460,0.01768,0.78105,2.0756,1
Select-DPC,43,0.16370,0.00073,0.00100,0.26653,1.6355,1
Select-DPC,44,0.08860,0.00097,0.00273,0.13975,1.5948,1
Select-DPC,45,0.31974,0.16136,0.17389,0.26998,1.7047,0
Select-DPC,46,0.33757,0.01628,0.06082,1.82669,5.6856,0
Select-DPC,47,0.20727,0.15748,0.16944,0.08933,1.7940,0
Select-DPC,48,0.11947,0.00220,0.00316,0.19915,1.6983,1
Select-DPC,49,0.25649,0.01208,0.01208,0.50412,2.0626,0
Select-DPC,50,0.18705,0.00041,0.00254,0.27350,1.4653,1
Select-DPC,51,0.11518,0.00323,0.00400,0.16815,1.5022,1
Select-DPC,52,0.05708,0.00079,0.02199,0.11189,1.9879,1
Select-DPC,53,0.28449,0.00209,0.00248,0.45372,1.6067,1
Select-DPC,54,0.19459,0.06747,0.07993,0.83280,6.5515,0
Select-DPC,55,0.12032,0.04153,0.04153,0.08949,1.1358,0
Select-DPC,56,0.33950,0.02293,0.04146,0.55708,1.7598,0
Select-DPC,57,0.28379,0.00137,0.00331,0.41910,1.4840,1
Select-DPC,58,0.23007,0.00206,0.00313,0.40598,1.7806,1
Select-DPC,59,0.37091,0.00131,0.00315,0.53798,1.4556,1
Select-DPC,60,0.17308,0.00292,0.00336,0.22016,1.2938,1
Select-DPC,61,0.27148,0.00492,0.00658,0.39134,1.4681,1
Select-DPC,62,0.02273,0.01807,0.02669,0.03815,8.1856,0
Select-DPC,63,0.17114,0.00031,0.00031,0.28125,1.6464,1
Select-DPC,64,0.14938,0.00082,0.00242,0.21652,1.4575,1
Select-DPC,65,0.13362,0.00050,0.00784,0.23342,1.7535,1
Select-DPC,66,0.21787,0.05411,0.05792,0.30577,1.8672,0
Select-DPC,67,0.03688,0.01115,0.01115,0.03753,1.4588,0
Select-DPC,68,0.09710,0.00140,0.01034,0.11967,1.2505,1
Select-DPC,69,0.11640,0.00146,0.00404,0.15237,1.3257,1
Select-DPC,70,0.31495,0.00244,0.00538,0.43694,1.3982,1
Select-DPC,71,0.05550,0.00141,0.00148,0.07065,1.3061,1
Select-DPC,72,0.19690,0.00311,0.00337,0.26616,1.3735,1
Select-DPC,73,0.11083,0.00129,0.00200,0.16860,1.5392,1
Select-DPC,74,0.34077,0.14317,0.14995,0.33522,1.6964,0
Select-DPC,75,0.26932,0.00562,0.00916,0.41953,1.5910,1
Select-DPC,76,0.27778,0.00281,0.01402,0.46193,1.6799,1
Select-DPC,77,0.07763,0.00138,0.00435,0.15671,2.0552,1
Select-DPC,78,0.25330,0.00332,0.01541,0.37840,1.5137,1
Select-DPC,79,0.09395,0.00277,0.00579,0.14630,1.6045,1
Select-DPC,80,0.02274,0.00729,0.00827,0.03343,2.1626,1
Select-DPC,81,0.19503,0.00340,0.00512,0.26245,1.3695,1
Select-DPC,82,0.08795,0.03461,0.05599,0.20177,3.7828,0
Select-DPC,83,0.05244,0.00242,0.00242,0.09421,1.8837,1
Select-DPC,84,0.25129,0.00222,0.00795,0.42612,1.7108,1
Select-DPC,85,0.32350,0.00460,0.02151,0.63445,1.9895,1
Select-DPC,86,0.30499,0.00196,0.00199,0.41700,1.3761,1
Select-DPC,87,0.33262,0.02553,0.02686,0.63385,2.0641,0
Select-DPC,88,0.23659,0.00124,0.00431,0.36277,1.5414,1
Select-DPC,89,0.17289,0.10859,0.11219,0.28499,4.4325,0
Select-DPC,90,0.18783,0.00115,0.00378,0.21633,1.1589,1
Select-DPC,91,0.05106,0.00122,0.00167,0.07041,1.4125,1
Select-DPC,92,0.05732,0.00083,0.00317,0.10256,1.8156,1
Select-DPC,93,0.18192,0.00279,0.00329,0.24141,1.3476,1
Select-DPC,94,0.20264,0.00091,0.00429,0.28840,1.4296,1
Select-DPC,95,0.17349,0.00224,0.00631,0.45696,2.6683,1
Select-DPC,96,0.03843,0.00144,0.00144,0.05636,1.5237,1
Select-DPC,97,0.04277,0.00051,0.00210,0.06166,1.4590,1
Select-DPC,98,0.30707,0.01245,0.08134,0.57583,1.9544,0
Select-DPC,99,0.31733,0.00128,0.00461,0.46280,1.4643,1
Select-DPC,100,0.23802,0.00343,0.00350,0.41448,1.7668,1
Select-DPC,101,0.17281,0.00034,0.00664,0.23361,1.3545,1
Select-DPC,102,0.30360,0.00194,0.00652,0.52156,1.7289,1
Select-DPC,103,0.22191,0.00176,0.00704,0.37531,1.7047,1
Select-DPC,104,0.15946,0.00595,0.01557,0.23857,1.5540,1
Select-DPC,105,0.19202,0.00082,0.00082,0.23702,1.2396,1
Select-DPC,106,0.21007,0.00078,0.00324,0.32553,1.5554,1
Select-DPC,107,0.25053,0.04648,0.04648,0.65225,3.1965,0
Select-DPC,108,0.07446,0.00418,0.01343,0.10964,1.5601,1
Select-DPC,109,0.16707,0.00297,0.00591,0.21312,1.2987,1
Select-DPC,110,0.17140,0.00488,0.01074,0.26919,1.6166,1
Select-DPC,111,0.19800,0.00067,0.00147,0.33295,1.6873,1
Select-DPC,112,0.26585,0.00276,0.00276,0.48633,1.8485,1
Select-DPC,113,0.15090,0.07891,0.08323,0.20686,2.8734,0
Select-DPC,114,0.34456,0.02955,0.04780,0.77028,2.4453,0
Select-DPC,115,0.28318,0.00277,0.00512,0.60608,2.1614,1
Select-DPC,116,0.08266,0.00591,0.01440,0.10938,1.4250,1
Select-DPC,117,0.13689,0.00100,0.00292,0.17551,1.2916,1
Select-DPC,118,0.36378,0.10167,0.10167,0.69529,2.6527,0
Select-DPC,119,0.14952,0.04500,0.07499,0.24021,2.2984,0
clone,0,0.05798,0.00544,0.01409,0.08273,1.5748,1
clone,1,0.25695,0.00183,0.01115,0.43201,1.6933,1
clone,2,0.26316,0.00515,0.01299,0.47581,1.8442,1
clone,3,0.06635,0.00133,0.00158,0.09680,1.4887,1
clone,4,0.34088,0.03609,0.16451,0.95255,3.1253,0
clone,5,0.10056,0.03036,0.04129,0.12552,1.7882,0
clone,6,0.28202,0.00995,0.01134,0.47770,1.7558,1
clone,7,0.20525,0.00203,0.00642,0.42212,2.0771,1
clone,8,0.33860,0.14768,0.32987,1.18811,6.2230,0
clone,9,0.08538,0.00234,0.01036,0.14454,1.7407,1
clone,10,0.15299,0.00386,0.01123,0.18741,1.2568,1
clone,11,0.22874,0.00777,0.00777,0.76570,3.4651,1
clone,12,0.30876,0.00160,0.00160,0.44945,1.4633,1
clone,13,0.24962,0.00232,0.00635,0.29155,1.1789,1
clone,14,0.17595,0.10419,0.11472,0.42328,5.8988,0
clone,15,0.10832,0.00392,0.00635,0.26024,2.4928,1
clone,16,0.29178,0.00055,0.00237,0.44858,1.5403,1
clone,17,0.22589,0.01649,0.01689,0.41984,2.0049,0
clone,18,0.03707,0.00220,0.00502,0.07225,2.0719,1
clone,19,0.24099,0.02548,0.02780,0.33373,1.5485,0
clone,20,0.19660,0.02940,0.03064,0.26630,1.5927,0
clone,21,0.03071,0.00513,0.01421,0.06755,2.6401,1
clone,22,0.08367,0.00330,0.00391,0.10941,1.3614,1
clone,23,0.16059,0.00520,0.00871,0.23381,1.5047,1
clone,24,0.12580,0.00467,0.01612,0.20436,1.6871,1
clone,25,0.31873,0.02863,0.03819,0.49678,1.7124,0
clone,26,0.14984,0.00265,0.00555,0.24706,1.6785,1
clone,27,0.24484,0.01079,0.01079,0.33811,1.4446,0
clone,28,0.30627,0.00711,0.01294,0.45301,1.5142,1
clone,29,0.10318,0.01174,0.02536,0.18462,2.0190,0
clone,30,0.33832,0.00641,0.02211,0.52070,1.5688,1
clone,31,0.14079,0.00402,0.00402,0.18042,1.3192,1
clone,32,0.15517,0.00770,0.03892,0.28653,1.9430,1
clone,33,0.14703,0.00273,0.01840,0.26680,1.8489,1
clone,34,0.35317,0.00303,0.01664,0.69110,1.9738,1
clone,35,0.20928,0.00484,0.01238,0.30026,1.4687,1
clone,36,0.34080,0.04785,0.04785,0.51583,1.7608,0
clone,37,0.30752,0.00465,0.00684,0.62364,2.0591,1
clone,38,0.03370,0.01968,0.12412,0.37525,26.7681,0
clone,39,0.27269,0.04196,0.05816,1.35818,5.8865,0
clone,40,0.25154,0.00548,0.00548,0.33482,1.3607,1
clone,41,0.21409,0.00322,0.00599,0.51507,2.4426,1
clone,42,0.38091,0.01794,0.02174,0.99621,2.7447,0
clone,43,0.16370,0.00133,0.00419,0.24442,1.5053,1
clone,44,0.08860,0.00062,0.00230,0.14347,1.6308,1
clone,45,0.31974,0.01250,0.01250,0.45913,1.4944,0
clone,46,0.33757,0.02847,0.19481,1.19547,3.8676,0
clone,47,0.20727,0.01054,0.01054,0.41993,2.1346,0
clone,48,0.11947,0.00390,0.00390,0.23587,2.0410,1
clone,49,0.25649,0.07312,0.07312,0.49672,2.7088,0
clone,50,0.18705,0.00079,0.00424,0.31182,1.6741,1
clone,51,0.11518,0.01351,0.20098,0.36913,3.6309,0
clone,52,0.05708,0.00460,0.01368,0.09919,1.8902,1
clone,53,0.28449,0.00291,0.01493,0.46682,1.6579,1
clone,54,0.19459,0.00040,0.00330,0.51291,2.6413,1
clone,55,0.12032,0.03918,0.04118,0.10192,1.2560,0
clone,56,0.33950,0.02091,0.03961,0.68441,2.1483,0
clone,57,0.28379,0.00564,0.01360,0.45950,1.6520,1
clone,58,0.23007,0.00805,0.00998,0.45630,2.0552,1
clone,59,0.37091,0.00500,0.01587,0.58145,1.5890,1
clone,60,0.17308,0.00046,0.01491,0.25690,1.4882,1
clone,61,0.27148,0.01132,0.01199,0.47175,1.8133,0
clone,62,0.02273,0.01583,0.01583,0.04380,6.3457,0
clone,63,0.17114,0.00728,0.02478,0.31990,1.9523,1
clone,64,0.14938,0.00070,0.00253,0.26078,1.7540,1
clone,65,0.13362,0.00188,0.00460,0.15437,1.1718,1
clone,66,0.21787,0.00484,0.00633,0.30213,1.4183,1
clone,67,0.03688,0.02965,0.05122,0.06220,8.6039,0
clone,68,0.09710,0.00485,0.02284,0.26230,2.8433,1
clone,69,0.11640,0.00783,0.01544,0.13002,1.1976,1
clone,70,0.31495,0.01030,0.02914,0.50995,1.6739,0
clone,71,0.05550,0.00249,0.00644,0.06174,1.1645,1
clone,72,0.19690,0.00127,0.00311,0.33297,1.7021,1
clone,73,0.11083,0.00513,0.00513,0.20068,1.8987,1
clone,74,0.34077,0.00918,0.01896,0.47360,1.4283,1
clone,75,0.26932,0.00136,0.01076,0.47723,1.7810,1
clone,76,0.27778,0.00283,0.01260,0.47094,1.7128,1
clone,77,0.07763,0.00166,0.00850,0.09017,1.1868,1
clone,78,0.25330,0.00070,0.01102,0.37843,1.4982,1
clone,79,0.09395,0.00625,0.00625,0.12517,1.4273,1
clone,80,0.02274,0.00108,0.00921,0.06470,2.9862,1
clone,81,0.19503,0.01133,0.01221,0.28792,1.5674,0
clone,82,0.08795,0.02707,0.02805,0.10577,1.7372,0
clone,83,0.05244,0.00014,0.00098,0.09730,1.8606,1
clone,84,0.25129,0.00383,0.00447,0.53861,2.1765,1
clone,85,0.32350,0.01394,0.01394,0.62645,2.0237,0
clone,86,0.30499,0.01992,0.02444,0.41690,1.4625,0
clone,87,0.33262,0.02710,0.02998,0.71918,2.3539,0
clone,88,0.23659,0.00562,0.01828,0.47134,2.0407,1
clone,89,0.17289,0.00882,0.00882,0.27229,1.6596,1
clone,90,0.18783,0.00006,0.00855,0.27163,1.4466,1
clone,91,0.05106,0.00360,0.00779,0.13410,2.8252,1
clone,92,0.05732,0.00828,0.01355,0.08234,1.6789,1
clone,93,0.18192,0.01093,0.02793,0.37571,2.1972,0
clone,94,0.20264,0.00883,0.01186,0.26786,1.3820,1
clone,95,0.17349,0.01857,0.04607,1.07589,6.9445,0
clone,96,0.03843,0.01568,0.02097,0.07639,3.3577,0
clone,97,0.04277,0.00414,0.00414,0.08902,2.3040,1
clone,98,0.30707,0.00272,0.00272,0.47149,1.5492,1
clone,99,0.31733,0.00167,0.00167,0.52262,1.6557,1
clone,100,0.23802,0.00340,0.04143,0.42083,1.7936,1
clone,101,0.17281,0.00149,0.01094,0.23355,1.3632,1
clone,102,0.30360,0.00921,0.00939,0.50711,1.7225,1
clone,103,0.22191,0.00105,0.00531,0.41855,1.8951,1
clone,104,0.15946,0.00629,0.02004,0.21462,1.4012,1
clone,105,0.19202,0.02142,0.07767,0.33740,1.9778,0
clone,106,0.21007,0.00326,0.01857,0.33534,1.6215,1
clone,107,0.25053,0.00390,0.01056,0.56703,2.2992,1
clone,108,0.07446,0.01682,0.04402,0.11157,1.9354,0
clone,109,0.16707,0.00090,0.00154,0.21632,1.3018,1
clone,110,0.17140,0.00123,0.01129,0.23506,1.3813,1
clone,111,0.19800,0.00140,0.00191,0.35429,1.8021,1
clone,112,0.26585,0.19113,0.20184,0.12582,1.6839,0
clone,113,0.15090,0.02023,0.06255,0.24515,1.8760,0
clone,114,0.34456,0.00447,0.00614,0.51526,1.5151,1
clone,115,0.28318,0.00453,0.00453,0.59588,2.1384,1
clone,116,0.08266,0.00471,0.01347,0.12515,1.6055,1
clone,117,0.13689,0.00484,0.00583,0.17447,1.3212,1
clone,118,0.36378,0.00097,0.00677,0.65521,1.8059,1
clone,119,0.14952,0.03708,0.04617,0.21602,1.9213,0
clone + warmstart,0,0.05798,0.00889,0.01396,0.06693,1.3635,1
clone + warmstart,1,0.25695,0.00768,0.01090,0.50813,2.0385,1
clone + warmstart,2,0.26316,0.00565,0.01167,0.34978,1.3583,1
clone + warmstart,3,0.06635,0.00038,0.00277,0.11321,1.7161,1
clone + warmstart,4,0.34088,0.03259,0.04951,0.70078,2.2731,0
clone + warmstart,5,0.10056,0.02948,0.02948,0.15386,2.1647,0
