episode,ep_rew_mean
4,-28400.0
8,-36000.0
12,-37600.0
16,-36100.0
20,-33900.0
24,-32500.0
28,-31500.0
32,-33300.0
36,-32900.0
40,-31800.0
44,-31300.0
48,-29800.0
52,-28600.0
56,-27400.0
60,-26700.0
64,-25800.0
68,-24900.0
72,-23900.0
76,-24600.0
80,-23900.0
84,-23100.0
88,-22500.0
92,-22000.0
96,-21500.0
100,-20600.0
104,-20700.0
108,-19000.0
112,-17400.0
116,-16500.0
120,-15900.0
124,-15200.0
128,-14800.0
132,-14500.0
136,-13700.0
140,-13200.0
144,-12500.0
148,-12500.0
152,-12400.0
156,-12400.0
160,-12200.0
164,-12000.0
168,-12100.0
172,-12000.0
176,-11000.0
180,-10800.0
184,-10700.0
188,-10700.0
192,-10600.0
196,-10400.0
200,-10300.0
204,-9590.0
208,-9620.0
212,-10000.0
216,-10100.0
220,-10200.0
224,-10100.0
228,-9690.0
232,-8340.0
236,-8310.0
240,-8750.0
244,-9040.0
248,-8980.0
252,-9530.0
256,-9570.0
260,-9320.0
264,-9300.0
268,-9360.0
272,-9470.0
276,-9390.0
280,-10300.0
284,-10800.0
288,-10900.0
292,-10800.0
296,-11300.0
300,-11200.0
304,-11500.0
308,-11400.0
312,-11100.0
316,-11500.0
320,-11600.0
324,-12000.0
328,-12200.0
332,-12300.0
336,-12400.0
340,-11900.0
344,-11500.0
348,-11300.0
352,-10400.0
356,-11400.0
360,-11600.0
364,-12200.0
368,-11900.0
372,-12100.0
376,-12500.0
380,-11700.0
384,-11500.0
388,-11400.0
392,-11500.0
396,-11300.0
400,-11300.0
404,-10800.0
408,-10900.0
412,-10700.0
416,-10100.0
420,-9890.0
424,-9570.0
428,-9610.0
432,-9250.0
436,-9160.0
440,-9150.0
444,-9170.0
448,-9150.0
452,-9360.0
456,-8570.0
460,-8690.0
464,-8290.0
468,-8220.0
472,-7990.0
476,-7760.0
480,-7650.0
484,-7700.0
488,-8010.0
492,-8250.0
496,-8190.0
500,-8370.0
504,-8420.0
508,-8550.0
512,-8650.0
516,-8660.0
520,-8770.0
524,-8720.0
528,-8760.0
532,-8860.0
536,-9090.0
540,-9070.0
544,-9500.0
548,-9550.0
552,-9690.0
556,-9280.0
560,-8880.0
564,-8590.0
568,-8590.0
572,-8880.0
576,-9050.0
580,-8850.0
584,-8730.0
588,-8320.0
592,-8180.0
596,-8200.0
600,-8000.0
604,-8490.0
608,-8200.0
612,-8280.0
616,-8410.0
620,-8190.0
624,-8200.0
628,-8200.0
632,-8500.0
636,-8150.0
640,-8150.0
644,-7940.0
648,-8660.0
652,-8630.0
656,-8960.0
660,-10300.0
664,-10600.0
668,-10800.0
672,-10900.0
676,-10600.0
680,-10800.0
684,-11300.0
688,-11500.0
692,-11200.0
696,-11000.0
700,-11000.0
704,-10400.0
708,-10300.0
712,-10100.0
716,-10200.0
720,-10200.0
724,-10100.0
728,-10400.0
732,-10700.0
736,-10800.0
740,-10700.0
744,-10500.0
748,-9920.0
752,-9570.0
756,-9210.0
760,-7860.0
764,-7830.0
768,-7590.0
772,-7220.0
776,-7140.0
780,-7510.0
784,-7070.0
788,-6920.0
792,-8000.0
796,-8040.0
800,-8210.0
804,-8380.0
808,-8440.0
812,-8790.0
816,-8750.0
820,-8830.0
824,-8800.0
828,-8400.0
832,-7840.0
836,-7760.0
840,-8270.0
844,-8340.0
848,-8200.0
