episode,ep_rew_mean
100,-21507.558039419997
101,-20920.126476979996
102,-20806.685681389998
103,-20893.03656154
104,-20636.7907658
105,-21295.700101219998
106,-21095.9850801
107,-21054.52236736
108,-20719.97403449
109,-20467.16959836
110,-19973.12100725
111,-19583.73986629
112,-19023.549003909997
113,-18867.683155339997
114,-18286.18402134
115,-18299.316625069998
116,-17449.56761179
117,-17409.236391630002
118,-17390.992282680003
119,-16918.87502695
120,-16540.91629116
121,-16462.89871754
122,-16035.37251505
123,-16071.156363810001
124,-15930.457872340003
125,-15529.244237
126,-15499.01262637
127,-15280.734765770001
128,-15230.705797949999
129,-15235.62846018
130,-14783.44171723
131,-14880.01262397
132,-14769.916961820001
133,-15069.66165281
134,-14876.90210059
135,-14649.80163275
136,-14546.240388040002
137,-14234.29156152
138,-13829.29870459
139,-13740.892959789999
140,-13699.86882915
141,-13483.12129259
142,-13337.197091130001
143,-13309.90043594
144,-13240.58545314
145,-12798.01254929
146,-12789.28773579
147,-12932.80824739
148,-12541.63627091
149,-12401.86895484
150,-12516.97371435
151,-12415.2899627
152,-12519.51043654
153,-12360.363899420001
154,-12282.80045522
155,-12421.54104375
156,-12413.4736792
157,-12168.73687798
158,-12365.28818372
159,-12368.060981280001
160,-12366.332917500002
161,-12212.469210450003
162,-12170.290786930002
163,-12243.408652360002
164,-12166.949275590001
165,-12082.220412000002
166,-11969.211957300002
167,-12125.521712000002
168,-12012.739184810001
169,-12016.43470032
170,-11941.481168369999
171,-11819.00211569
172,-12148.50105291
173,-12169.55875482
174,-12159.559696209999
175,-12091.20590996
176,-12016.95371362
177,-11944.09940278
178,-11778.039295049999
179,-11766.20581326
180,-10973.150018649998
181,-10997.54885679
182,-11020.22850508
183,-10854.74415015
184,-10788.29431399
185,-10724.76812736
186,-10746.3190205
187,-10730.56949443
188,-10702.212598949998
189,-10676.94617404
190,-10711.682052299999
191,-10689.255148839999
192,-10713.035278669999
193,-10749.49953551
194,-10801.278588590001
195,-10600.74037193
196,-10624.56433521
197,-10562.37527067
198,-10574.323420739998
199,-10539.361137889999
200,-10435.5257842
201,-10437.24388962
202,-10347.4586521
203,-10189.75792665
204,-10259.813479280001
205,-9604.73240569
206,-9653.72520435
207,-9607.69116152
208,-9590.18105209
209,-9655.3124565
210,-9631.411340289998
211,-9704.80611382
212,-9616.037164329999
213,-9682.256857600001
214,-9724.314559620001
215,-9728.38561474
216,-10008.297050219999
217,-10022.41850402
218,-10063.5731291
219,-10068.74788489
220,-10098.49589926
221,-10088.608418709999
222,-10066.12960859
223,-10152.268683229999
224,-10224.222644000001
225,-10225.9203
226,-10157.7710464
227,-10130.98002861
228,-10122.62691021
229,-10109.09600356
230,-9895.764902620002
231,-9719.959686920001
232,-9692.551414900001
233,-8889.56275496
234,-8921.375034140001
235,-8641.79172225
236,-8340.2065453
237,-8412.85980061
238,-8351.39794065
239,-8279.39200195
240,-8305.946046910001
241,-8800.8703219
242,-8628.34675547
243,-8554.4293153
244,-8752.905879950002
245,-8769.12037462
246,-8945.258453729999
247,-8875.03186879
248,-9039.075618010002
249,-9268.04694682
250,-9158.15436579
251,-9119.91979241
252,-8978.506647490001
253,-9016.12816628
254,-9255.69267591
255,-9175.77321273
256,-9528.02080566
257,-9636.851956670002
258,-9512.06155825
259,-9516.655199240002
260,-9574.39860316
261,-9405.47624643
262,-9386.39609201
263,-9298.73940884
264,-9322.98931293
265,-9333.9032572
266,-9456.27134209
267,-9310.66839337
268,-9301.12378966
269,-9670.131449920002
270,-9723.47212876
271,-9656.64323354
272,-9362.696324830002
273,-9405.01851591
274,-9449.163074830001
275,-9461.82162164
276,-9467.76367752
277,-9521.21101929
278,-9482.586736109999
279,-9459.48480819
280,-9393.61280533
281,-9427.03745143
282,-9651.26073225
283,-9986.36086639
284,-10312.1560861
285,-10348.91013946
286,-10369.159185010001
287,-10686.09177055
288,-10782.15650944
289,-10732.375733910001
290,-10851.2702485
291,-10827.10742584
292,-10870.488775900001
293,-10891.82799542
294,-10826.0518902
295,-10806.870750760001
296,-10764.11138011
297,-10791.65447446
298,-10767.614643249999
299,-10915.44522595
300,-11277.81714967
301,-11236.280821429998
302,-11241.477382500001
303,-11240.48017181
304,-11207.425852060001
305,-11158.725908240001
306,-11387.71239456
307,-11464.61499142
308,-11496.4043641
309,-11352.380654210001
310,-11330.59846463
311,-11338.99015972
312,-11371.496871860001
313,-11402.43913033
314,-11393.57048857
315,-11400.050625340002
316,-11126.47050268
317,-11192.93169256
318,-11367.046812
319,-11755.80399018
320,-11539.496712470002
321,-11539.12764453
322,-11710.74508108
323,-11545.245952010002
324,-11557.389747680001
325,-11540.37526771
326,-11484.47784268
327,-11990.424632769998
328,-12024.79587193
329,-12112.29918957
330,-12151.85230926
331,-12167.09570437
332,-12153.66123899
333,-12208.54943672
334,-12101.45197589
335,-12087.53095371
336,-12293.51622924
337,-12361.842477950002
338,-12385.55659769
339,-12450.03112826
340,-12435.783159039998
341,-12011.940624259998
342,-12127.85664445
343,-12091.24583412
344,-11890.731201319999
345,-11915.59766638
346,-11830.29338049
347,-11644.26586165
348,-11464.00171923
349,-11288.167752919999
350,-11325.61721882
351,-11283.881902379999
352,-11292.89193477
353,-11237.76930721
354,-11014.95401902
355,-10817.577553390001
356,-10444.070578120001
357,-11035.063399370001
358,-10945.09195628
359,-11343.15153991
360,-11410.86586363
361,-11430.14287131
362,-11651.84320017
363,-11652.32980806
364,-11637.02054223
365,-11602.68699355
366,-11538.98171942
367,-11539.30985269
368,-12193.08543812
369,-12008.920711350002
370,-11955.50421322
371,-11968.6065521
372,-11927.06627974
373,-11856.856610620001
374,-11855.489850900001
375,-11856.61467773
376,-12101.29180413
377,-12453.086864149998
378,-12567.135111970001
379,-12404.503253910001
380,-12480.535673
381,-12399.927695589999
382,-12225.31512761
383,-12041.074461569999
384,-11742.29202221
385,-11728.77617872
386,-11681.17395814
387,-11408.10547756
388,-11481.47684791
389,-11716.764242520001
390,-11495.118181290001
391,-11433.221655280002
392,-11410.716426980001
393,-11368.982238280001
394,-11486.02835896
395,-11526.6544459
396,-11520.023264070001
397,-11732.32358299
398,-11767.646295909999
399,-11707.36072638
400,-11291.4063617
401,-11222.58240022
402,-11267.78463467
403,-11282.47482469
404,-11252.00245218
405,-11244.832789290002
406,-10962.454055040002
407,-10828.15189242
408,-10792.20480759
409,-10825.92607949
410,-10979.27833784
411,-10855.77663807
412,-10911.94760715
413,-10836.080229
414,-10827.70022859
415,-10794.40742139
416,-10726.514505430001
417,-10673.54407211
418,-10490.00490068
419,-10098.39317046
420,-10080.04030793
421,-10071.77534795
422,-9934.0495668
423,-9928.206931780001
424,-9887.40571033
425,-9891.05903762
426,-9955.6583155
427,-9443.7115598
428,-9566.577573130002
429,-9503.239087850001
430,-9512.63999161
431,-9566.288808059999
432,-9611.56078185
433,-9476.47095888
434,-9487.08813429
435,-9432.45452812
436,-9251.28697735
437,-9301.86967027
438,-9255.195345350001
439,-9174.529776020001
440,-9163.7634585
441,-9186.77137476
442,-9132.97548149
443,-9166.8086719
444,-9150.52726052
445,-9146.41414677
446,-9134.83346451
447,-9172.15925778
448,-9173.02113188
449,-9084.58847087
450,-9001.24745164
451,-9160.17421235
452,-9145.774425020001
453,-9212.006204680001
454,-9272.649770020002
455,-9270.311559540001
456,-9360.708988190001
457,-8653.981146420001
