step,x,y,heading,v,w,goal_x,goal_y
0,4.673570912461025,-5.577001088604137,-0.7338796690243851,0.0,0.0,-7.197570252328895,8.618496286545298
1,4.673570912461025,-5.577001088604137,-0.6949845544194706,0.0,1.555804584196579,-7.197570252328895,8.618496286545298
2,4.673570912461025,-5.577001088604137,-0.6557146462495984,0.0,1.5707963267948966,-7.197570252328895,8.618496286545298
3,4.673570912461025,-5.577001088604137,-0.6164447380797258,0.0,1.5707963267948966,-7.197570252328895,8.618496286545298
4,4.681593984609312,-5.582685879011003,-0.5792857444524668,0.39331723311671984,1.4863597450903567,-7.197570252328895,8.618496286545298
5,4.687850026288559,-5.586778256660194,-0.5400158362825946,0.29902672072194925,1.5707963267948966,-7.197570252328895,8.618496286545298
6,4.695360165688694,-5.591280218359343,-0.500745928112722,0.3502452922169006,1.5707963267948966,-7.197570252328895,8.618496286545298
7,4.704838487742141,-5.596467433247707,-0.46147601994284937,0.4321958579106009,1.5707963267948966,-7.197570252328895,8.618496286545298
8,4.715631287795765,-5.6018345680963595,-0.42220611177297673,0.4821463171795588,1.5707963267948966,-7.197570252328895,8.618496286545298
9,4.726892178104547,-5.606893199093426,-0.3829362036031041,0.4937973642876803,1.5707963267948966,-7.197570252328895,8.618496286545298
10,4.737613941828215,-5.611212154392748,-0.34366629543323146,0.4623584621891328,1.5707963267948966,-7.197570252328895,8.618496286545298
11,4.748020410960829,-5.614936289523353,-0.3043963872633588,0.4421109042383926,1.5707963267948966,-7.197570252328895,8.618496286545298
12,4.7579887093819195,-5.618067929292851,-0.2651264790934862,0.41794572098839833,1.5707963267948966,-7.197570252328895,8.618496286545298
13,4.7673634721157985,-5.620613349431796,-0.22585657092361355,0.3885672966172393,1.5707963267948966,-7.197570252328895,8.618496286545298
14,4.776185073231676,-5.622640350371433,-0.18658666275374092,0.3620593963579539,1.5707963267948966,-7.197570252328895,8.618496286545298
15,4.784529541706969,-5.624215640490328,-0.14731675458386828,0.3396744160960119,1.5707963267948966,-7.197570252328895,8.618496286545298
16,4.79283710938057,-5.625448415313909,-0.10804684641399565,0.33594145779790896,1.5707963267948966,-7.197570252328895,8.618496286545298
17,4.800545749101637,-5.626284565835187,-0.06877693824412301,0.31015421723638026,1.5707963267948966,-7.197570252328895,8.618496286545298
18,4.807460982050828,-5.626760925724837,-0.029507030074250373,0.27726482787701334,1.5707963267948966,-7.197570252328895,8.618496286545298
19,4.814000047101897,-5.626953930131258,0.009659528524650351,0.26167651004398307,1.5666623439560226,-7.197570252328895,8.618496286545298
20,4.880931210578,-5.626307386539443,0.0486695912258539,2.6773714461406906,1.5604025080481359,-7.197570252328895,8.618496286545298
21,4.956302387296074,-5.622636203040773,0.0879394993957261,3.0184212742817973,1.5707963267948966,-7.197570252328895,8.618496286545298
22,5.032334014904152,-5.615932730743653,0.12720940756559873,3.0530627081857786,1.5707963267948966,-7.197570252328895,8.618496286545298
23,5.105460237949058,-5.606579882732611,0.16647931573547137,2.9488764674651096,1.5707963267948966,-7.197570252328895,8.618496286545298
24,5.180122521212155,-5.594034037969617,0.205749223905344,3.0283605499678963,1.5707963267948966,-7.197570252328895,8.618496286545298
25,5.2508138886362365,-5.57928056913499,0.24501913207521664,2.8885800721990065,1.5707963267948966,-7.197570252328895,8.618496286545298
26,5.3194535482738985,-5.562117702809944,0.2842890402450893,2.8301143031801352,1.5707963267948966,-7.197570252328895,8.618496286545298
27,5.386169891116424,-5.5426229353242835,0.3235589484149619,2.7802493015127743,1.5707963267948966,-7.197570252328895,8.618496286545298
28,5.452641201652766,-5.520332188528399,0.36282885658483455,2.80437159225009,1.5707963267948966,-7.197570252328895,8.618496286545298
29,5.5184292833209225,-5.495356667692071,0.4020987647547072,2.8147748274053943,1.5707963267948966,-7.197570252328895,8.618496286545298
30,5.583941680366993,-5.467496253371893,0.4413686729245798,2.8476170677431902,1.5707963267948966,-7.197570252328895,8.618496286545298
31,5.6493764140614875,-5.436581376291328,0.48063858109445246,2.894804725317613,1.5707963267948966,-7.197570252328895,8.618496286545298
32,5.715754754443255,-5.401970197944724,0.5199084892643251,2.99439950263908,1.5707963267948966,-7.197570252328895,8.618496286545298
33,5.782953459010221,-5.363502949583036,0.5591783974341977,3.097197466613503,1.5707963267948966,-7.197570252328895,8.618496286545298
34,5.85030697833883,-5.321352741510673,0.5984483056040704,3.178209963232204,1.5707963267948966,-7.197570252328895,8.618496286545298
35,5.9175093788492275,-5.2755300274994505,0.637718213773943,3.253523321868555,1.5707963267948966,-7.197570252328895,8.618496286545298
36,5.984398994367932,-5.225964611889559,0.6769881219438156,3.3300933533632526,1.5707963267948966,-7.197570252328895,8.618496286545298
37,6.050799704677741,-5.172598891006854,0.7162580301136883,3.407510409663432,1.5707963267948966,-7.197570252328895,8.618496286545298
38,6.1165261117397955,-5.1153860876864465,0.7555279382835609,3.4855738004676424,1.5707963267948966,-7.197570252328895,8.618496286545298
39,6.181545906189616,-5.054139034517587,0.7947978464534335,3.572959600592402,1.5707963267948966,-7.197570252328895,8.618496286545298
40,6.245190239319369,-4.989286839173001,0.8340677546233062,3.6345912299554852,1.5707963267948966,-7.197570252328895,8.618496286545298
41,6.308003160570442,-4.920041622752957,0.8733376627931788,3.7395963575021827,1.5707963267948966,-7.197570252328895,8.618496286545298
42,6.369831924729344,-4.846256175026019,0.9126075709630515,3.85062870163966,1.5707963267948966,-7.197570252328895,8.618496286545298
43,6.430809796714915,-4.767392570368625,0.9518774791329241,3.9875343783238,1.5707963267948966,-7.197570252328895,8.618496286545298
44,6.490355609762469,-4.683793461774205,0.9911473873027967,4.105511380430118,1.5707963267948966,-7.197570252328895,8.618496286545298
45,6.547756279304305,-4.596114250831033,1.0304172954726694,4.1918932993039375,1.5707963267948966,-7.197570252328895,8.618496286545298
46,6.60296341013767,-4.504093925324558,1.0693743172047165,4.2924245085815995,1.5582808692818948,-7.197570252328895,8.618496286545298
47,6.655536137960874,-4.40818460088831,1.108322891458469,4.374926783312429,1.5579429701501097,-7.197570252328895,8.618496286545298
48,6.705377285794308,-4.308209005501097,1.1472742445959954,4.468424275358282,1.558054125501042,-7.197570252328895,8.618496286545298
49,6.7520933106931365,-4.204580696866698,1.186183947314544,4.5468606018261655,1.556388108741945,-7.197570252328895,8.618496286545298
50,6.795313038940778,-4.0978048979193105,1.2250286438553708,4.607648623869271,1.553787861633064,-7.197570252328895,8.618496286545298
51,6.83453894095569,-3.98891653300455,1.2640813256854049,4.6295308449463395,1.562107273201354,-7.197570252328895,8.618496286545298
52,6.8696298077517906,-3.8781181611396733,1.3033512338552775,4.648896323285196,1.5707963267948966,-7.197570252328895,8.618496286545298
53,6.900445255733539,-3.765656910689429,1.3426211420251501,4.664268377724147,1.5707963267948966,-7.197570252328895,8.618496286545298
54,6.926861462043003,-3.6519014930123124,1.3818910501950228,4.67129292709065,1.5707963267948966,-7.197570252328895,8.618496286545298
55,6.948817943975319,-3.5370572439511356,1.4211609583648954,4.676971437376063,1.5707963267948966,-7.197570252328895,8.618496286545298
56,6.966311487537495,-3.4210232878757383,1.460430866534768,4.693809204280716,1.5707963267948966,-7.197570252328895,8.618496286545298
57,6.979308772243841,-3.3037359546745457,1.4997007747046407,4.7202115103771085,1.5707963267948966,-7.197570252328895,8.618496286545298
58,6.987739836253166,-3.1853480412641546,1.5389706828745133,4.747509811595224,1.5707963267948966,-7.197570252328895,8.618496286545298
59,6.9915339869447966,-3.0661715174907105,1.578240591044386,4.769476180578847,1.5707963267948966,-7.197570252328895,8.618496286545298
60,6.990715126340368,-2.9561746862869756,1.6175104992142586,4.399995165006885,1.5707963267948966,-7.197570252328895,8.618496286545298
61,6.985718176436465,-2.8492839010740445,1.6567804073841312,4.280300825274608,1.5707963267948966,-7.197570252328895,8.618496286545298
